Table name: `per_patient`
Description: A table containing general patient-level information such as clinical and demographic background of the patients. Also contains patient-level information on treatment type, stem cell transplant, ISS stage, risk markers, and death-related info.
Format: column_number|column_name|description
# Identifier field
1|public_id|Index column. Patient public identifier. MMRF_ followed by 4 unique digits. e.g. MMRF_1234
# Columns to ignore
9|se_specify2|ignore
53|d_pt_issstage_char|ignore. use d_pt_iss for ISS.
54|d_pt_issstage|ignore. use d_pt_iss for ISS.
92|fhr|ignore
93|demog_vj_interval|
94|demog_visitdy|
108|enr|Enrolled Population. Ignore as it is always 1 (constant column).
