Table name: `per_visit`
Description: Clinical data obtained from each visit made by a patient. Each patient has multiple visits throughout the treatment journey and results for each visit are recorded here. If column description is Ignore, do not use the column.
Format: column_number | column_name | column_description
# Identifier columns
1|public_id|Index column. Patient public identifier. MMRF_ followed by 4 unique digits. e.g. MMRF_1234
3|visit|A unique number assigned to the visit. e.g. 1 means first visit at which diagnosis was made.
5|visitdy|Day of Visit counting from day of diagnosis
# Bone marrow aspirate ("bone_"):
56|bone_wasabonemarro|Was a bone marrow aspirate performed since the last study visit?
57|bone_dayofcollect|BMA date of collection
58|bone_wasbonemarrow|Was bone marrow sample sent to the Spectrum Health?
60|bone_plasmaunk|Volume of BMA unknown
62|bone_bmaunk|Volume of bma sent to CoMMpass Central Lab unknown
63|bone_wasperipheral|Was peripheral blood sent to the Spectrum Health?
65|bone_pc6|BMA: (%PC positive for CD138 by IHC) - reported as %PC
66|bone_percentofplas|BMA: (%PC positive for CD138 by IHC) - %PC
68|bone_specify2|Other reason for procedure, specify
70|bone_reportedasper|BMA: Reported as %PC by cytomorphology (smear)
71|bone_rangeofplasma2|BMA: (%PC positive for CD138 by IHC) - reported as %PC range
72|bone_rangelow|BMA: (%PC positive for CD138 by IHC) -  %PC low end of range
73|bone_rangehigh|BMA: (%PC positive for CD138 by IHC) - %PC high end of range
74|bone_rangeunk|BMA: (%PC positive for CD138 by IHC) - not done/unknown
76|bone_pc7|BMA: (%PC by cytomorphology (smear)) - reported as %PC
77|bone_pc2|BMA: (%PC by cytomorphology (smear)) - %PC
78|bone_rangeofplasma3|BMA: (%PC by cytomorphology (smear)) - reported as %PC range
79|bone_rangelow2|BMA: (%PC by cytomorphology (smear)) -  %PC low end of range
80|bone_rangehigh2|BMA: (%PC by cytomorphology (smear)) - %PC high end of range
81|bone_fcaunk|BMA: (%PC by cytomorphology (smear)) - not done/unknown
82|bone_aflowcytometr|BMA: Reported as %cells positive by flow cytometry(FLOW)
83|bone_pc8|BMA: (%cells positive by FLOW) - reported as %PC
84|bone_reportedbycyt|BMA: (%cells positive by FLOW) - %PC
85|bone_rangeofplasma4|BMA: (%cells positive by FLOW) - reported as %PC range
86|bone_rangelow3|BMA: (%cells positive by FLOW) -  %PC low end of range
87|bone_rangehigh3|BMA: (%cells positive by FLOW) - %PC high end of range
88|bone_unknown|BMA: (%cells positive by FLOW) - not done/unknown
89|bone_pc|"checked" means yes.
90|bone_reportedasper2|PC in clot section or BM biopsy: Reported as %PC positive for CD138 by IHC
91|bone_pc9|PC in clot section or BM biopsy: (%PC positive for CD138 by IHC) - reported as %PC
92|bone_pc3|PC in clot section or BM biopsy: (%PC positive for CD138 by IHC) - %PC
93|bone_rangeofplasma5|PC in clot section or BM biopsy: (%PC positive for CD138 by IHC) - reported as %PC range
94|bone_rangelow4|PC in clot section or BM biopsy: (%PC positive for CD138 by IHC) -  %PC low end of range
95|bone_rangehigh4|PC in clot section or BM biopsy: (%PC positive for CD138 by IHC) - %PC high end of range
96|bone_lowvalue|PC in clot section or BM biopsy: (%PC positive for CD138 by IHC) - not done/unknown
97|bone_reportedasper3|PC in clot section or BM biopsy: Reported as %PC by cytomorphology (smear)
98|bone_pc10|PC in clot section or BM biopsy: (%PC by cytomorphology (smear)) - reported as %PC
99|bone_pc4|PC in clot section or BM biopsy: (%PC by cytomorphology (smear)) - %PC
100|bone_rangeofplasma6|PC in clot section or BM biopsy: (%PC by cytomorphology (smear)) - reported as %PC range
101|bone_rangelow5|PC in clot section or BM biopsy: (%PC by cytomorphology (smear)) -  %PC low end of range
102|bone_rangehigh5|PC in clot section or BM biopsy: (%PC by cytomorphology (smear)) - %PC high end of range
103|bone_highvalue|PC in clot section or BM biopsy: (%PC by cytomorphology (smear)) - not done/unknown
104|bone_rangeofplasma|PC in clot section or BM biopsy: Reported as %cells positive by flow cytometry(FLOW)
105|bone_pc11|PC in clot section or BM biopsy: (%cells positive by FLOW) - reported as %PC
106|bone_pc5|PC in clot section or BM biopsy: (%cells positive by FLOW) - %PC
107|bone_rangeofplasma7|PC in clot section or BM biopsy: (%cells positive by FLOW) - reported as %PC range
108|bone_rangelow6|PC in clot section or BM biopsy: (%cells positive by FLOW) -  %PC low end of range
109|bone_rangehigh6|PC in clot section or BM biopsy: (%cells positive by FLOW) - %PC high end of range
110|bone_notdoneunknow|PC in clot section or BM biopsy: (%cells positive by FLOW) - not done/unknown
111|bone_doesthepcresu|Does the %PC result reported above apply to BMA specimen taken at the same time as the specimen submitted to CoMMpass Central Lab
