Table name: `per_visit`
Description: Clinical data obtained from each visit made by a patient. Each patient has multiple visits throughout the treatment journey and results for each visit are recorded here. If column description is Ignore, do not use the column.
Format: column_number | column_name | column_description
# Identifier columns
1|public_id|Index column. Patient public identifier. MMRF_ followed by 4 unique digits. e.g. MMRF_1234
3|visit|A unique number assigned to the visit. e.g. 1 means first visit at which diagnosis was made.
5|visitdy|Day of Visit counting from day of diagnosis
# Derived immunophenotyping/immunohistochemistry results ("d_im_"):
215|d_im_collection_day|Collection Date
216|d_im_processing_day|Processing Date
217|d_im_patients__mmrf_eligibility|MMRF Eligibility Status
218|d_im_igh_site|IGH Site
219|d_im_igl_site|IGL Site
220|d_im_morphology_percent_pc_in_bm|Morphology %PC in bone marrow
221|d_im_flowcyt_pct_pc_in_bm_low|Flow cytometer %PC in bone marrow-Low
222|d_im_flowcyt_pct_pc_in_bm_high|Flow cytometer %PC in bone marrow-High
223|d_im_morphology_percent_pc_in_pb|Morphology %PC in peripheral blood
224|d_im_flowcyt_pct_pc_in_pb_low|Flow cytometer %PC in peripheral blood-Low
225|d_im_flowcyt_pct_pc_in_pb_high|Flow cytometer %PC in peripheral blood-High
226|d_im_cd38_detected|CD38 Detected
227|d_im_cd38_pc_percent|CD38 PC%
228|d_im_cd38_description|CD38 Description
229|d_im_cd138_detected|CD138 Detected
230|d_im_cd138_pc_percent|CD138 PC%
231|d_im_cd138_description|CD138 Description
232|d_im_cd45_pc_typical_detected|CD45 PC Typical Detected
233|d_im_cd45_pc_percent|CD45 PC%
234|d_im_cd45_description|CD45 Description
235|d_im_cd56_detected|CD56 Detected
236|d_im_cd56_pc_percent|CD56 PC%
237|d_im_cd56_description|CD56 Description
238|d_im_cd13_detected|CD13 Detected
239|d_im_cd13_pc_percent|CD13 PC%
240|d_im_cd19_detected|CD19 Detected
241|d_im_cd19_pc_percent|CD19 PC%
242|d_im_cd20_detected|CD20 Detected
243|d_im_cd20_pc_percent|CD20 PC%
244|d_im_cd27_detected|CD27 Detected
245|d_im_cd27_pc_percent|CD27 PC%
246|d_im_cd28_detected|CD28 Detected
247|d_im_cd28_pc_percent|CD28 PC%
248|d_im_cd33_detected|CD33 Detected
249|d_im_cd33_pc_percent|CD33 PC%
250|d_im_cd52_detected|CD52 Detected
251|d_im_cd52_pc_percent|CD52 PC%
252|d_im_cd81_detected|CD81 Detected
253|d_im_cd81_pc_percent|CD81 PC%
254|d_im_cd117_detected|CD117 Detected
255|d_im_cd117_pc_percent|CD117 PC%
256|d_im_cd319_detected|CD319 Detected
257|d_im_cd319_pc_percent|CD319 PC%
258|d_im_fgfr3_char|FGFR3 (character)
259|d_im_fgfr3_pc_percent|FGFR3 PC%
260|d_im_light_chain_by_flow|Light Chain by Flow
261|d_im_flowcyt_pct_aneuploid_popul|Flow cytometer %aneuploidy population
262|d_im_dna_index|DNA Index
263|d_im_braf_status|BRAF Status
264|d_im_braf_cdna_variant|BRAF CDNA Variant
265|d_im_braf_protein_variant|BRAF Protein Variant
266|d_im_fgfr3_detected|FGFR3 Detected
267|d_im_visitseq|Sample sequence
268|d_im_cd38des|CD38 Description(coded)
269|d_im_cd56des|CD56 Description(coded)
270|d_im_cd138des|CD138 Description(coded)
271|d_im_cd45d|CD45 Description(coded)
272|d_im_igh|IGH Site(coded)
273|d_im_igl|IGl Site(coded)
274|d_im_lightc|Light Chain by Flow(coded)
275|d_im_aneupgp|Aneuploidy group code
276|d_im_mrgday|Collection or Processing Date
277|d_im_bone_reasonforproc|Reason for procedure reported on CRF
278|d_im_bone_specify2|Reason for procdure on CRF, specify
279|d_im_pddt|Correlated disease progression date
280|d_im_crdt|Correlated Cr/sCR date
281|d_im_enr|Enrollment population flag
282|d_im_reason|Derived reason for sample
283|d_im_crdiff|Days away from closest CR/sCR date
284|d_im_pddiff|Days away from closest PD date
285|d_im_det_plasma_cells|Flag for detectable plasma cells (%PC in BM High > 0)
286|d_im_detectable|Flag for at least one CD marker detected
287|d_im_kaplam|Light chain either kappa or lambda
288|d_im_crhit|Flag for an acceptable sample for CR
289|d_im_pdhit|Flag for an acceptable sample for PD
290|d_im_hit|Flag for an acceptable sample
