Table name: `per_visit`
Description: Clinical data obtained from each visit made by a patient. Each patient has multiple visits throughout the treatment journey and results for each visit are recorded here. If column description is Ignore, do not use the column.
Format: column_number | column_name | column_description
# Identifier columns
1|public_id|Index column. Patient public identifier. MMRF_ followed by 4 unique digits. e.g. MMRF_1234
3|visit|A unique number assigned to the visit. e.g. 1 means first visit at which diagnosis was made.
5|visitdy|Day of Visit counting from day of diagnosis
# Fields related to risk indices, which are scalars positively associated with risk. Fields related to risk predictors like gene expression scores or LDH level.
358|keatsnfkb_index|Jonathan Keats' NF Kappa B index
359|keatsprolif_index|Jonathan Keats' Proliferation index
360|pi_pbl_index|A prognostic index based on plasma B cell.
363|pi_pbl_call|PBL category. Code 1 = positive, 0 = negative.
361|uams70_index|UAMS70 index.
362|uams70_call|UAMS70 category. Code 1 = high risk, top 15 percentile in the UAMS70 index, 0 = standard risk, bottom 85 percentile in the UAMS70 index.
364|ldh_level|LDH-level categorized as High/Normal/Low
