Table name: `per_visit`
Description: Clinical data obtained from each visit made by a patient. Each patient has multiple visits throughout the treatment journey and results for each visit are recorded here. If column description is Ignore, do not use the column.
Format: column_number|column_name|column_description
# Identifier columns
1|public_id|Index column. Patient public identifier. MMRF_ followed by 4 unique digits. e.g. MMRF_1234
3|visit|A unique number assigned to the visit. e.g. 1 means first visit at which diagnosis was made.
5|visitdy|Day of Visit counting from day of diagnosis
# Results of Soft tissue Examination ("st_")
203|st_plasmacytoman|Plasmacytoma number
204|st_increaseinnum|Was there an increase in Number
205|st_plasmacytoman2|Plasmacytoma number
206|st_resultofexami2|Result of examination
207|st_wasanassessme|Was an assessment for soft tissue plasmacytomas performed since the last study visit?
208|st_assessmentdat|Date of soft tissue plasmacytoma assessment
209|st_wereanysoftti|Were any soft tissue plasmacytomas present during this exam?
210|st_numberofplasm|Number of plasmacytomas
211|st_wasthereachan|Was there a change in Plasmacytomas since last visit
212|st_increaseinsize|Was there an increase in Size
213|st_resultofexami|Result of Examination
