ensg,symbol,name
ENSG00000019102,VSIG2,V-set and immunoglobulin domain containing 2
ENSG00000066056,TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1
ENSG00000080854,IGSF9B,immunoglobulin superfamily member 9B
ENSG00000085552,IGSF9,immunoglobulin superfamily member 9
ENSG00000089289,IGBP1,immunoglobulin binding protein 1
ENSG00000101842,VSIG1,V-set and immunoglobulin domain containing 1
ENSG00000103742,IGDCC4,immunoglobulin superfamily DCC subclass member 4
ENSG00000104970,KIR3DX1,"killer cell immunoglobulin like receptor, three Ig domains X1 (pseudogene)"
ENSG00000104972,LILRB1,leukocyte immunoglobulin like receptor B1
ENSG00000104974,LILRA1,leukocyte immunoglobulin like receptor A1
ENSG00000105609,LILRB5,leukocyte immunoglobulin like receptor B5
ENSG00000121933,TMIGD3,transmembrane and immunoglobulin domain containing 3
ENSG00000124232,RBPJL,recombination signal binding protein for immunoglobulin kappa J region like
ENSG00000125498,KIR2DL1,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1"
ENSG00000127578,WFIKKN1,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
ENSG00000128322,IGLL1,immunoglobulin lambda like polypeptide 1
ENSG00000129009,ISLR,immunoglobulin superfamily containing leucine rich repeat
ENSG00000131042,LILRB2,leukocyte immunoglobulin like receptor B2
ENSG00000132740,IGHMBP2,immunoglobulin mu DNA binding protein 2
ENSG00000134897,BIVM,"basic, immunoglobulin-like variable motif containing"
ENSG00000139263,LRIG3,leucine rich repeats and immunoglobulin like domains 3
ENSG00000140749,IGSF6,immunoglobulin superfamily member 6
ENSG00000143061,IGSF3,immunoglobulin superfamily member 3
ENSG00000143195,ILDR2,immunoglobulin like domain containing receptor 2
ENSG00000144749,LRIG1,leucine rich repeats and immunoglobulin like domains 1
ENSG00000144847,IGSF11,immunoglobulin superfamily member 11
ENSG00000145103,ILDR1,immunoglobulin like domain containing receptor 1
ENSG00000145850,TIMD4,T cell immunoglobulin and mucin domain containing 4
ENSG00000147255,IGSF1,immunoglobulin superfamily member 1
ENSG00000152580,IGSF10,immunoglobulin superfamily member 10
ENSG00000155659,VSIG4,V-set and immunoglobulin domain containing 4
ENSG00000156755,IGKV1OR-2,immunoglobulin kappa variable 1/OR-2 (pseudogene)
ENSG00000162729,IGSF8,immunoglobulin superfamily member 8
ENSG00000162896,PIGR,polymeric immunoglobulin receptor
ENSG00000163395,IGFN1,immunoglobulin like and fibronectin type III domain containing 1
ENSG00000167178,ISLR2,immunoglobulin superfamily containing leucine rich repeat 2
ENSG00000167613,LAIR1,leukocyte associated immunoglobulin like receptor 1
ENSG00000167618,LAIR2,leukocyte associated immunoglobulin like receptor 2
ENSG00000167633,KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
ENSG00000167664,TMIGD2,transmembrane and immunoglobulin domain containing 2
ENSG00000168214,RBPJ,recombination signal binding protein for immunoglobulin kappa J region
ENSG00000170858,LILRP2,leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000173714,WFIKKN2,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"
ENSG00000174498,IGDCC3,immunoglobulin superfamily DCC subclass member 3
ENSG00000176834,VSIG10,V-set and immunoglobulin domain containing 10
ENSG00000179057,IGSF22,immunoglobulin superfamily member 22
ENSG00000182271,TMIGD1,transmembrane and immunoglobulin domain containing 1
ENSG00000183067,IGSF5,immunoglobulin superfamily member 5
ENSG00000186152,LILRP1,leukocyte immunoglobulin-like receptor pseudogene 1
ENSG00000186806,VSIG10L,V-set and immunoglobulin domain containing 10 like
ENSG00000186818,LILRB4,leukocyte immunoglobulin like receptor B4
ENSG00000187116,LILRA5,leukocyte immunoglobulin like receptor A5
ENSG00000188403,IGHV1OR15-9,immunoglobulin heavy variable 1/OR15-9 (non-functional)
ENSG00000189013,KIR2DL4,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4"
ENSG00000197794,IGKV7-3,immunoglobulin kappa variable 7-3 (pseudogene)
ENSG00000198799,LRIG2,leucine rich repeats and immunoglobulin like domains 2
ENSG00000204577,LILRB3,leukocyte immunoglobulin like receptor B3
ENSG00000204670,IGKV1OR2-3,immunoglobulin kappa variable 1/OR2-3 (pseudogene)
ENSG00000204776,IGKV1OR-3,immunoglobulin kappa variable 1/OR-3 (pseudogene)
ENSG00000204780,IGKV1OR9-1,immunoglobulin kappa variable 1/OR9-1 (pseudogene)
ENSG00000206066,IGLL3P,"immunoglobulin lambda like polypeptide 3, pseudogene"
ENSG00000211592,IGKC,immunoglobulin kappa constant
ENSG00000211593,IGKJ5,immunoglobulin kappa joining 5
ENSG00000211594,IGKJ4,immunoglobulin kappa joining 4
ENSG00000211595,IGKJ3,immunoglobulin kappa joining 3
ENSG00000211596,IGKJ2,immunoglobulin kappa joining 2
ENSG00000211597,IGKJ1,immunoglobulin kappa joining 1
ENSG00000211598,IGKV4-1,immunoglobulin kappa variable 4-1
ENSG00000211599,IGKV5-2,immunoglobulin kappa variable 5-2
ENSG00000211611,IGKV6-21,immunoglobulin kappa variable 6-21 (non-functional)
ENSG00000211623,IGKV2D-26,immunoglobulin kappa variable 2D-26
ENSG00000211625,IGKV3D-20,immunoglobulin kappa variable 3D-20
ENSG00000211626,IGKV6D-41,immunoglobulin kappa variable 6D-41 (non-functional)
ENSG00000211632,IGKV3D-11,immunoglobulin kappa variable 3D-11
ENSG00000211633,IGKV1D-42,immunoglobulin kappa variable 1D-42 (non-functional)
ENSG00000211637,IGLV4-69,immunoglobulin lambda variable 4-69
ENSG00000211638,IGLV8-61,immunoglobulin lambda variable 8-61
ENSG00000211639,IGLV4-60,immunoglobulin lambda variable 4-60
ENSG00000211640,IGLV6-57,immunoglobulin lambda variable 6-57
ENSG00000211641,IGLV11-55,immunoglobulin lambda variable 11-55 (non-functional)
ENSG00000211642,IGLV10-54,immunoglobulin lambda variable 10-54
ENSG00000211643,IGLV5-52,immunoglobulin lambda variable 5-52
