ensg,symbol
ENSG00000127837,AAMP
ENSG00000090861,AARS1
ENSG00000099204,ABLIM1
ENSG00000213088,ACKR1
ENSG00000075624,ACTB
ENSG00000184009,ACTG1
ENSG00000204310,AGPAT1
ENSG00000149925,ALDOA
ENSG00000136938,ANP32B
ENSG00000122359,ANXA11
ENSG00000182718,ANXA2
ENSG00000177879,AP3S1
ENSG00000100823,APEX1
ENSG00000084234,APLP2
ENSG00000078061,ARAF
ENSG00000143761,ARF1
ENSG00000134287,ARF3
ENSG00000168374,ARF4
ENSG00000175220,ARHGAP1
ENSG00000111348,ARHGDIB
ENSG00000170540,ARL6IP1
ENSG00000163466,ARPC2
ENSG00000128272,ATF4
ENSG00000138363,ATIC
ENSG00000177556,ATOX1
ENSG00000152234,ATP5F1A
ENSG00000110955,ATP5F1B
ENSG00000165629,ATP5F1C
ENSG00000159199,ATP5MC1
ENSG00000135390,ATP5MC2
ENSG00000154518,ATP5MC3
ENSG00000116459,ATP5PB
ENSG00000128524,ATP6V1F
ENSG00000166710,B2M
ENSG00000185825,BCAP31
ENSG00000029363,BCLAF1
ENSG00000126581,BECN1
ENSG00000204256,BRD2
ENSG00000159388,BTG2
ENSG00000106245,BUD31
ENSG00000108561,C1QBP
ENSG00000143933,CALM2
ENSG00000127022,CANX
ENSG00000131236,CAP1
ENSG00000162909,CAPN2
ENSG00000126247,CAPNS1
ENSG00000116489,CAPZA1
ENSG00000108349,CASC3
ENSG00000153113,CAST
ENSG00000118971,CCND2
ENSG00000118816,CCNI
ENSG00000173585,CCR9
ENSG00000115484,CCT4
ENSG00000135535,CD164
ENSG00000174059,CD34
ENSG00000198851,CD3E
ENSG00000135404,CD63
ENSG00000019582,CD74
ENSG00000110651,CD81
ENSG00000172831,CES2
ENSG00000147400,CETN2
ENSG00000172757,CFL1
ENSG00000064886,CHI3L2
ENSG00000100288,CHKB
ENSG00000099622,CIRBP
ENSG00000213719,CLIC1
ENSG00000122705,CLTA
ENSG00000141367,CLTC
ENSG00000120885,CLU
ENSG00000093010,COMT
ENSG00000122218,COPA
ENSG00000168090,COPS6
ENSG00000006695,COX10
ENSG00000131143,COX4I1
ENSG00000111775,COX6A1
ENSG00000126267,COX6B1
ENSG00000164919,COX6C
ENSG00000112695,COX7A2
ENSG00000127184,COX7C
ENSG00000176340,COX8A
ENSG00000204435,CSNK2B
ENSG00000101439,CST3
ENSG00000160213,CSTB
ENSG00000175215,CTDSP2
ENSG00000168036,CTNNB1
ENSG00000100243,CYB5R3
ENSG00000183283,DAZAP2
ENSG00000175203,DCTN2
ENSG00000167986,DDB1
ENSG00000099977,DDT
ENSG00000198563,DDX39B
ENSG00000108654,DDX5
ENSG00000095059,DHPS
ENSG00000125868,DSTN
ENSG00000120129,DUSP1
ENSG00000161202,DVL3
ENSG00000088986,DYNLL1
ENSG00000127884,ECHS1
ENSG00000156508,EEF1A1
ENSG00000114942,EEF1B2
ENSG00000254772,EEF1G
ENSG00000167658,EEF2
ENSG00000173812,EIF1
ENSG00000184110,EIF3C
ENSG00000104408,EIF3E
ENSG00000175390,EIF3F
ENSG00000161960,EIF4A1
ENSG00000156976,EIF4A2
ENSG00000141543,EIF4A3
ENSG00000110321,EIF4G2
ENSG00000106682,EIF4H
ENSG00000074800,ENO1
ENSG00000100632,ERH
ENSG00000139684,ESD
ENSG00000092820,EZR
ENSG00000125386,FAM193A
ENSG00000026103,FAS
ENSG00000105202,FBL
ENSG00000104870,FCGRT
ENSG00000022267,FHL1
ENSG00000088832,FKBP1A
ENSG00000004478,FKBP4
ENSG00000196924,FLNA
ENSG00000122176,FMOD
ENSG00000168522,FNTA
ENSG00000167996,FTH1
ENSG00000087086,FTL
ENSG00000179163,FUCA1
ENSG00000089280,FUS
ENSG00000010810,FYN
ENSG00000111640,GAPDH
ENSG00000057608,GDI2
ENSG00000135821,GLUL
ENSG00000087460,GNAS
ENSG00000078369,GNB1
ENSG00000169727,GPS1
ENSG00000132522,GPS2
ENSG00000167468,GPX4
ENSG00000148834,GSTO1
ENSG00000084207,GSTP1
ENSG00000169919,GUSB
ENSG00000288825,H2AC18
ENSG00000164032,H2AZ1
ENSG00000163041,H3-3A
ENSG00000132475,H3-3B
ENSG00000116478,HDAC1
ENSG00000169567,HINT1
ENSG00000206503,HLA-A
ENSG00000234745,HLA-B
ENSG00000204252,HLA-DOA
ENSG00000231389,HLA-DPA1
ENSG00000196735,HLA-DQA1
ENSG00000179344,HLA-DQB1
ENSG00000204287,HLA-DRA
ENSG00000204592,HLA-E
ENSG00000189403,HMGB1
ENSG00000198830,HMGN2
ENSG00000135486,HNRNPA1
ENSG00000169813,HNRNPF
ENSG00000165119,HNRNPK
ENSG00000104824,HNRNPL
ENSG00000105707,HPN
ENSG00000080824,HSP90AA1
ENSG00000096384,HSP90AB1
ENSG00000106211,HSPB1
ENSG00000144381,HSPD1
ENSG00000166033,HTRA1
ENSG00000068001,HYAL2
ENSG00000185885,IFITM1
ENSG00000142089,IFITM3
ENSG00000166333,ILK
ENSG00000140575,IQGAP1
ENSG00000184216,IRAK1
ENSG00000172183,ISG20
ENSG00000150093,ITGB1
ENSG00000100605,ITPK1
ENSG00000100221,JOSD1
ENSG00000171223,JUNB
ENSG00000130522,JUND
ENSG00000065427,KARS1
ENSG00000083168,KAT6A
ENSG00000185896,LAMP1
ENSG00000002834,LASP1
ENSG00000134333,LDHA
ENSG00000111716,LDHB
ENSG00000100097,LGALS1
ENSG00000131981,LGALS3
ENSG00000274173,LINC02967
ENSG00000111144,LTA4H
ENSG00000277443,MARCKS
ENSG00000103495,MAZ
ENSG00000014641,MDH1
ENSG00000111341,MGP
ENSG00000085871,MGST2
ENSG00000089693,MLF2
ENSG00000076242,MLH1
ENSG00000123562,MORF4L2
ENSG00000133030,MPRIP
ENSG00000147065,MSN
ENSG00000125148,MT2A
ENSG00000100345,MYH9
ENSG00000196531,NACA
ENSG00000187109,NAP1L1
ENSG00000115053,NCL
ENSG00000196498,NCOR2
ENSG00000162736,NCSTN
ENSG00000104419,NDRG1
ENSG00000184752,NDUFA12
ENSG00000189043,NDUFA4
ENSG00000178127,NDUFV2
ENSG00000129559,NEDD8
ENSG00000147862,NFIB
ENSG00000100906,NFKBIA
ENSG00000147140,NONO
ENSG00000119655,NPC2
ENSG00000183426,NPIPA1
ENSG00000169246,NPIPB3
ENSG00000181163,NPM1
ENSG00000104904,OAZ1
ENSG00000135506,OS9
ENSG00000070756,PABPC1
ENSG00000143799,PARP1
ENSG00000007372,PAX6
ENSG00000197111,PCBP2
ENSG00000107438,PDLIM1
ENSG00000089220,PEBP1
ENSG00000123349,PFDN5
ENSG00000108518,PFN1
ENSG00000171314,PGAM1
ENSG00000102144,PGK1
ENSG00000215021,PHB2
ENSG00000241973,PI4KA
ENSG00000137193,PIM1
ENSG00000102007,PLP2
ENSG00000177700,POLR2L
ENSG00000196262,PPIA
ENSG00000117450,PRDX1
ENSG00000117592,PRDX6
ENSG00000197746,PSAP
ENSG00000059915,PSD
ENSG00000080815,PSEN1
ENSG00000126067,PSMB2
ENSG00000277791,PSMB3
ENSG00000159377,PSMB4
ENSG00000100804,PSMB5
ENSG00000142507,PSMB6
ENSG00000100764,PSMC1
ENSG00000175166,PSMD2
ENSG00000103035,PSMD7
ENSG00000099341,PSMD8
ENSG00000092010,PSME1
ENSG00000156471,PTDSS1
ENSG00000187514,PTMA
ENSG00000184007,PTP4A2
ENSG00000111679,PTPN6
ENSG00000172053,QARS1
ENSG00000136238,RAC1
ENSG00000204628,RACK1
ENSG00000157110,RBPMS
ENSG00000157916,RER1
ENSG00000131378,RFTN1
ENSG00000067560,RHOA
ENSG00000117748,RPA2
ENSG00000198755,RPL10A
ENSG00000142676,RPL11
ENSG00000197958,RPL12
ENSG00000167526,RPL13
ENSG00000142541,RPL13A
ENSG00000188846,RPL14
ENSG00000265681,RPL17
ENSG00000063177,RPL18
ENSG00000105640,RPL18A
ENSG00000108298,RPL19
ENSG00000122026,RPL21
ENSG00000125691,RPL23
ENSG00000114391,RPL24
ENSG00000131469,RPL27
ENSG00000166441,RPL27A
ENSG00000108107,RPL28
ENSG00000162244,RPL29
ENSG00000100316,RPL3
ENSG00000071082,RPL31
ENSG00000144713,RPL32
ENSG00000109475,RPL34
ENSG00000136942,RPL35
ENSG00000182899,RPL35A
ENSG00000241343,RPL36A
ENSG00000165502,RPL36AL
ENSG00000197756,RPL37A
ENSG00000172809,RPL38
ENSG00000198918,RPL39
ENSG00000174444,RPL4
ENSG00000229117,RPL41
ENSG00000089009,RPL6
ENSG00000147604,RPL7
ENSG00000148303,RPL7A
ENSG00000161016,RPL8
ENSG00000238103,RPL9P7
ENSG00000089157,RPLP0
ENSG00000137818,RPLP1
ENSG00000177600,RPLP2
ENSG00000118705,RPN2
ENSG00000124614,RPS10
ENSG00000142534,RPS11
ENSG00000164587,RPS14
ENSG00000115268,RPS15
ENSG00000134419,RPS15A
ENSG00000105193,RPS16
ENSG00000182774,RPS17
ENSG00000231500,RPS18
ENSG00000105372,RPS19
ENSG00000140988,RPS2
ENSG00000171858,RPS21
ENSG00000186468,RPS23
ENSG00000118181,RPS25
ENSG00000197728,RPS26
ENSG00000177954,RPS27
ENSG00000143947,RPS27A
ENSG00000233927,RPS28
ENSG00000213741,RPS29
ENSG00000149273,RPS3
ENSG00000145425,RPS3A
ENSG00000083845,RPS5
ENSG00000137154,RPS6
ENSG00000171863,RPS7
ENSG00000142937,RPS8
ENSG00000170889,RPS9
ENSG00000168028,RPSA
ENSG00000197747,S100A10
ENSG00000031698,SARS1
ENSG00000106803,SEC61B
ENSG00000178980,SELENOW
ENSG00000168385,SEPTIN2
ENSG00000196136,SERPINA3
ENSG00000124570,SERPINB6
ENSG00000119335,SET
ENSG00000168066,SF1
ENSG00000087365,SF3B2
ENSG00000075415,SLC25A3
ENSG00000005022,SLC25A5
ENSG00000169100,SLC25A6
ENSG00000130821,SLC6A8
ENSG00000104852,SNRNP70
ENSG00000125743,SNRPD2
ENSG00000128739,SNRPN
ENSG00000142168,SOD1
ENSG00000159140,SON
ENSG00000118363,SPCS2
ENSG00000115306,SPTBN1
ENSG00000161011,SQSTM1
ENSG00000140319,SRP14
ENSG00000138385,SSB
ENSG00000163479,SSR2
ENSG00000168610,STAT3
ENSG00000117632,STMN1
ENSG00000148175,STOM
ENSG00000148290,SURF1
ENSG00000158710,TAGLN2
ENSG00000106052,TAX1BP1
ENSG00000187735,TCEA1
ENSG00000104964,TLE5
ENSG00000139644,TMBIM6
ENSG00000170348,TMED10
ENSG00000034510,TMSB10
ENSG00000205542,TMSB4X
ENSG00000047410,TPR
ENSG00000133112,TPT1
ENSG00000076604,TRAF4
ENSG00000130726,TRIM28
ENSG00000127589,TUBBP1
ENSG00000136810,TXN
ENSG00000265972,TXNIP
ENSG00000130985,UBA1
ENSG00000221983,UBA52
ENSG00000170315,UBB
ENSG00000150991,UBC
ENSG00000175063,UBE2C
ENSG00000109332,UBE2D3
ENSG00000156467,UQCRB
ENSG00000173660,UQCRH
ENSG00000102226,USP11
ENSG00000165637,VDAC2
ENSG00000026025,VIM
ENSG00000163159,VPS72
ENSG00000140105,WARS1
ENSG00000100219,XBP1
ENSG00000082898,XPO1
ENSG00000065978,YBX1
ENSG00000166913,YWHAB
ENSG00000128245,YWHAH
ENSG00000134308,YWHAQ
ENSG00000164924,YWHAZ
ENSG00000128016,ZFP36
ENSG00000167232,ZNF91
